index,file_index,file_entry_index,run,subrun,event,reco_id,reco_interaction_id,reco_is_primary,reco_shape,reco_pid,reco_size,reco_depositions_sum,truth_id,truth_interaction_id,truth_is_primary,truth_shape,truth_pid,truth_size,truth_depositions_sum,match_overlap
0,0,0,0,0,1,0,0,False,2,1,50,28.854572296142578,15,0,False,2,1,50,28.854572296142578,1.0
0,0,0,0,0,1,1,0,False,0,0,50,35.039581298828125,18,0,False,0,0,56,39.127708435058594,0.89285713
0,0,0,0,0,1,2,0,True,0,0,92,59.49553298950195,17,0,False,0,0,96,60.6651611328125,0.9583333
0,0,0,0,0,1,3,0,False,0,0,182,127.1392822265625,8,0,False,0,0,190,133.6291046142578,0.95789474
0,0,0,0,0,1,4,0,False,0,0,227,120.257568359375,9,0,False,0,0,223,119.48627471923828,0.98237884
0,0,0,0,0,1,5,0,False,1,4,26,36.65913391113281,2,0,False,1,4,19,25.706859588623047,0.7307692
0,0,0,0,0,1,6,0,False,1,4,67,36.21743392944336,0,0,False,1,4,42,23.286481857299805,0.6268657
0,0,0,0,0,1,7,0,True,1,3,13,7.990136623382568,1,0,False,1,3,15,9.037353515625,0.75
0,0,0,0,0,1,8,0,True,1,2,158,91.63604736328125,10,0,False,1,3,159,92.5186538696289,0.9937107
0,0,0,0,0,1,9,0,True,1,2,61,40.175418853759766,6,0,False,1,3,59,39.012245178222656,0.9672131
0,0,0,0,0,1,10,0,True,1,4,242,169.63177490234375,7,0,False,1,4,242,169.40957641601562,0.99176955
0,0,0,0,0,1,11,0,False,1,3,32,42.2352180480957,13,0,False,1,3,30,35.8934211730957,0.8235294
1,0,1,0,0,3,0,0,True,1,2,15,9.361310005187988,0,0,False,1,2,15,9.361310005187988,1.0
1,0,1,0,0,3,1,0,True,1,2,7,3.84517502784729,1,0,False,1,3,7,3.84517502784729,1.0
3,0,3,0,0,5,0,0,False,0,1,10,4.718367099761963,1,0,False,0,1,10,4.718367099761963,1.0
3,0,3,0,0,5,1,1,True,1,2,305,164.64593505859375,2,1,False,1,2,301,162.47274780273438,0.96753246
3,0,3,0,0,5,2,2,True,1,5,21,9.225508689880371,0,0,True,1,2,21,9.225508689880371,1.0
5,0,5,0,0,7,0,0,True,1,2,7,3.387294292449951,0,0,True,1,2,7,3.387294292449951,1.0
6,0,6,0,0,8,0,0,True,1,2,47,26.564533233642578,0,0,False,1,2,46,26.17963218688965,0.9787234
7,0,7,0,0,9,0,0,False,1,4,69,58.59003448486328,1,1,False,1,4,69,58.59003448486328,1.0
8,0,8,0,0,10,0,0,False,0,0,22,9.837066650390625,1,0,False,0,0,26,12.104053497314453,0.84615386
8,0,8,0,0,10,1,0,True,0,0,53,35.20021438598633,3,0,False,0,0,53,35.20021438598633,1.0
8,0,8,0,0,10,2,0,True,0,0,52,34.801177978515625,2,0,False,0,0,53,35.79564666748047,0.9811321
8,0,8,0,0,10,3,1,False,3,1,8,4.1656694412231445,7,0,False,3,1,10,5.752078056335449,0.8
8,0,8,0,0,10,4,1,True,1,2,437,228.25738525390625,0,0,False,1,2,425,220.74658203125,0.97254
8,0,8,0,0,10,5,0,True,1,5,65,52.07539367675781,4,0,False,1,4,62,46.57443618774414,0.95384616
8,0,8,0,0,10,6,2,True,1,2,43,25.025020599365234,8,1,False,1,2,43,25.025020599365234,1.0
9,0,9,0,0,12,0,0,False,1,4,39,27.519254684448242,0,0,False,0,0,39,27.519254684448242,1.0
